,Unnamed: 0,year,month,location,fatalities,cat,Latitude,Longitude
186,7435,1972,JAN,Maun Airport (MUB),0.0,1,-19.9714127,23.4321964
187,3083,2013,JAN,Denver Internati...,0.0,1,,
188,5311,2007,JAN,Jelenia GÃ³ra Ai...,0.0,2,47.30919,9.40295
189,4750,1991,JAN,Ho Chi Minh City...,0.0,1,10.7763897,106.7011391
190,18062,1982,JAN,near Narsarsuaq,2.0,1,61.16667,-45.41667
191,7257,2020,JAN,Manda Bay-Camp S...,2.0,2,-15.5,35.0
192,14756,1972,JAN,near Chetumal,23.0,1,18.51413,-88.30381
193,12491,1972,JAN,Usisya,0.0,1,-5.0896375,32.2362644
194,7285,1972,JAN,Manila Internati...,0.0,1,,
195,8368,2007,JAN,N'Djamena Airpor...,0.0,1,,
196,9362,2007,JAN,Pau-Uzein Airpor...,1.0,1,,
197,8020,2020,JAN,Morristown Munic...,0.0,1,48.13743,11.57549
198,6315,1972,JAN,"Lake City, FL",0.0,1,30.1894252,-82.6394803
199,6433,1972,JAN,Las Vegas-McCarr...,0.0,1,37.61094,-82.16986
200,5911,1991,JAN,Kobenhavn-Kastru...,0.0,1,,
201,9374,1982,JAN,Pearl Harbor Cha...,0.0,1,35.04563,-85.30968
202,9018,1982,JAN,Opa-locka Airpor...,0.0,1,,
203,11422,2007,JAN,St. Moritz-Samed...,0.0,1,,
204,945,1990,JAN,"Banten Bay, Java...",9.0,1,-5.9796214,106.1771969
205,7468,1990,JAN,"McCharen Field, ...",0.0,1,33.584341,-88.6660188
206,7758,2007,JAN,Milwaukee-Genera...,0.0,1,,
207,20869,1982,JAN,near Washington-Natio...,78.0,1,,
208,1613,1982,JAN,Boston-Logan Int...,2.0,1,66.03169,60.16594
209,1925,1982,JAN,BÃ¡csbokod,0.0,1,,
210,10855,1990,JAN,Santo Domingo,0.0,1,18.4801972,-69.942111
211,11132,1982,JAN,Shevchenko,0.0,1,48.22191,37.14211
212,13400,1982,JAN,near Addis Ababa,73.0,1,9.0,38.75
213,6851,2007,JAN,Los Angeles-Van ...,2.0,1,-30.1409799,-51.3207811
214,8173,1990,JAN,Mount Rinjani,19.0,1,-8.4117,116.458
215,4486,1990,JAN,"Hagerstown, MD",0.0,1,39.6430455,-77.7191081
216,18614,1990,JAN,near Pervouralsk,27.0,1,56.90528,59.94361
217,4407,2002,JAN,GuayaramerÃ­n Ai...,0.0,1,47.30919,9.40295
218,18471,2007,JAN,near Pambauang,102.0,1,-3.489,118.896
219,9865,1998,JAN,Puerto Plata-La ...,0.0,1,7.7054711,-77.0375924
220,2926,1972,JAN,Dallas-Love Fiel...,0.0,1,,
221,18583,2013,JAN,near Pellston Regiona...,1.0,1,,
222,10540,1998,JAN,Samsun Airport (...,0.0,1,41.2562275,36.5547366
223,14009,2002,JAN,near Beef Island,0.0,1,41.39649,-71.51311
224,13397,1972,JAN,near Adana Airport (ADA),1.0,1,,
225,7656,1982,JAN,Miami Internatio...,0.0,1,,
226,12360,1991,JAN,Tuz Khurmatu Air...,0.0,1,34.9240558,44.488086
227,15643,2020,JAN,near Friemersheim,3.0,1,51.38455,6.70554
228,20727,1972,JAN,near Victoria County-...,9.0,1,28.79635,-96.97153
229,1800,1991,JAN,Bucharest-Otopen...,0.0,1,44.5678852,26.0690421
230,7943,2020,JAN,Monterrey-Aeropu...,0.0,1,,
231,15707,2020,JAN,near Geneina Airport ...,18.0,1,13.48333,22.46667
232,8121,2013,JAN,Mount Elizabeth,3.0,1,48.7957226,-118.6728058
233,6653,1991,JAN,Little Vermillio...,0.0,1,,
234,15847,2007,JAN,near Guadalajara-Migu...,2.0,1,,
235,9856,1998,JAN,Puerto LimÃ³n Ai...,0.0,1,47.30919,9.40295
236,19249,2020,JAN,near Sabashahr,176.0,1,,
237,1113,1991,JAN,"Beckley Airport,...",0.0,1,39.8402597,-83.8411443
238,17446,1980,JAN,near Mandalay Airport...,43.0,1,,
239,19708,2020,JAN,near Sharana FOB,2.0,1,,
240,20191,1998,JAN,near Tampico-Gen F Ja...,3.0,1,,
241,3948,1992,JAN,Friedrichshafen ...,0.0,1,47.6500279,9.4800858
242,15879,1981,JAN,near Guatemala City-L...,6.0,1,,
243,4651,1972,JAN,Havana-JosÃ© Mar...,0.0,1,10.63167,-71.64056
244,20557,1997,JAN,"near Uberaba Airport,...",0.0,1,,
245,21083,2002,JAN,near ZaldÃ­var,3.0,1,,
246,3248,1997,JAN,Djerba-Zarzis Ai...,0.0,1,47.30919,9.40295
247,416,2006,JAN,Anchorage-Ted St...,0.0,1,1.0,7.0
248,21248,1981,JAN,within Kamoa Mountains,4.0,1,1.66667,-59.0
249,5577,1981,JAN,Karad Airport,0.0,1,17.2857985,74.1577707
250,5560,1981,JAN,Karachi Internat...,0.0,1,,
251,1429,2002,JAN,Birmingham Inter...,5.0,1,52.4136909,-1.8780515
252,385,1997,JAN,Anadyr Airport (...,0.0,1,64.7362716,177.7358337
253,18554,1972,JAN,near Patuxent River-N...,0.0,1,,
254,9189,1991,JAN,Palma de Mallorc...,0.0,1,,
255,13288,2013,JAN,between Los Roqu...,6.0,1,,
256,10435,2002,JAN,Saint Petersburg...,0.0,1,59.938732,30.316229
257,5848,2006,JAN,Kinshasa-N'Djili...,0.0,1,-4.4048357,15.37378
258,8653,2020,JAN,New York-La Guar...,0.0,1,,
259,18647,1972,JAN,near Phnom Penh-Poche...,0.0,1,,
260,7568,2013,JAN,Mendoza-El Plume...,0.0,1,,
261,6998,1992,JAN,Lyakhsh,0.0,1,38.32337,71.2715
262,911,1992,JAN,Bangkok Internat...,0.0,1,,
263,597,2014,JAN,Aspen-Pitkin Cou...,1.0,1,38.95171,-92.33407
264,10671,2020,JAN,San Juan-Fernand...,0.0,2,,
265,15399,1992,JAN,near Elefsis Air Base,3.0,1,,
266,16011,2006,JAN,near Hejce,42.0,1,48.43333,21.28333
267,118,1981,JAN,Adler/Sochi Airp...,0.0,1,,
268,10785,2013,JAN,Santa Cruz-El Tr...,0.0,1,39.0,35.0
269,12911,1981,JAN,Whidbey Island-N...,0.0,1,48.2984669,-122.6480748
270,8446,1997,JAN,"Nakina Airport, ...",0.0,1,50.1838094,-86.6919727
271,796,1981,JAN,Bahar Dar Airpor...,0.0,1,,
272,5936,1992,JAN,Komo Airport (KOM),0.0,1,-6.0677551,142.859504
273,5192,1981,JAN,Izmir-Cigli Air ...,0.0,1,,
274,9764,1992,JAN,Poste Montagnais...,0.0,1,51.8924004,-65.7288924
275,8603,1972,JAN,New York-John F....,0.0,1,,
276,12785,1981,JAN,Warszawa-Okecie ...,0.0,1,52.1661431,20.9873566
277,2378,1992,JAN,Cheju Airport (CJU),0.0,1,33.5070711,126.4916441
278,886,2020,JAN,Bandar Mahshahr ...,0.0,1,30.5502699,49.0565038
279,2034,2006,JAN,Caloundra Airpor...,0.0,1,,
280,13660,1997,JAN,near Apia-Fagali'i Ai...,3.0,1,,
281,19688,2002,JAN,near Shamsi,7.0,1,32.09913,54.10998
282,8782,1972,JAN,Norman Wells Air...,0.0,1,,
283,11984,2020,JAN,"Terrace Airport,...",0.0,1,54.4672709,-128.5747881
284,9443,1981,JAN,"Petrolina, PE",0.0,1,46.50011,-62.99868
285,20750,2006,JAN,"near Villanow, GA",4.0,1,31.831426,-81.693544
286,6974,1981,JAN,Luxembourg-Finde...,0.0,1,,
287,15795,1991,JAN,near Gorontalo-Jalalu...,1.0,1,,
288,17980,1991,JAN,near MÃ©rida-A Carnev...,22.0,1,,
289,16641,1972,JAN,near Khost Airport (KHT),0.0,1,,
290,143,1981,JAN,Agua Negro Ranch...,0.0,1,,
291,1490,1981,JAN,Bluefield-Mercer...,5.0,1,37.2698395,-81.2223195
292,14041,1991,JAN,"near Belo Horizonte, MG",5.0,1,-19.92083,-43.93778
293,14963,2020,JAN,"near Cooma, NSW",3.0,1,-36.23517,149.12408
294,6667,1998,JAN,Lloydminster Air...,0.0,1,,
295,1913,2007,JAN,Butler County/K....,0.0,1,48.1221363,-123.5015429
296,1468,1981,JAN,Blenheim-Woodbou...,0.0,1,,
297,14668,1972,JAN,near CeskÃ© Kamenice,27.0,1,,
298,13547,2013,JAN,near Almaty Airport (...,21.0,1,,
299,10929,2020,JAN,Schefferville Ai...,0.0,1,47.30919,9.40295
300,6658,1997,JAN,Liverpool Intern...,0.0,1,,
301,16290,1997,JAN,near Jaffna-Palaly Ai...,4.0,1,,
302,8960,2013,JAN,Okiwi Station Ai...,0.0,1,47.30919,9.40295
303,3735,2006,JAN,Fataki,0.0,1,-4.2073169,27.1058492
304,15641,2006,JAN,near Freiburg Im Brei...,2.0,1,,
305,9770,1972,JAN,Poughkeepsie-Dut...,1.0,1,53.8898,-166.5422
306,16185,1981,JAN,near Inner Hebrides,3.0,1,56.5,-6.0
307,19909,1981,JAN,near Spokane Internat...,7.0,1,,
308,9996,1981,JAN,Ramstein AFB  (RMS),9.0,1,49.441426,7.6012401
309,2162,2006,JAN,Carlsbad-McClell...,4.0,1,,
310,20602,2020,JAN,near Unalaska-Tom Mad...,0.0,1,,
311,1302,1997,JAN,Berlin-Tegel Air...,0.0,1,,
312,5291,1972,JAN,Jeddah Internati...,0.0,1,,
313,1760,2018,JAN,Brownsville-Sout...,0.0,1,,
314,9175,1991,JAN,Palembang Airpor...,0.0,1,,
315,5626,2002,JAN,Kavak Airstrip,0.0,1,,
316,12605,1991,JAN,Vichy-Rolla Nati...,0.0,1,14.5539,45.585
317,190,1991,JAN,Al Bakr-Balad So...,0.0,1,2.36002,45.38551
318,19451,1990,JAN,near San JosÃ©-Juan S...,23.0,1,,
319,15917,1979,JAN,near Haikota,3.0,1,15.18596,37.08289
320,19718,2015,JAN,near Shatyrkul Mine,6.0,1,,
321,11066,2017,JAN,Shabunda Airport,0.0,1,-2.6897975,27.3442817
322,7535,2003,JAN,Melilla Airport ...,0.0,1,35.2801551,-2.9577494
323,3279,1975,JAN,Dolo,0.0,1,48.3810251,-2.3322828
324,6518,2018,JAN,Legazpi-Bicol In...,0.0,1,22.0,79.0
325,17550,1995,JAN,"near Masset Airport, ...",5.0,1,54.02783,-132.12624
326,5977,1995,JAN,Koundara-Sambail...,0.0,1,,
327,14155,2017,JAN,near Bishkek-Manas In...,39.0,1,39.91578,-86.132381
328,13425,1975,JAN,near AgadÃ¨s Airport ...,0.0,1,,
