,year,month,location,fatalities,cat
18143,1975,JAN,"near Newport News, VA",7.0,1
19387,1975,JAN,near San Borja,0.0,1
5606,1995,JAN,Kathmandu-Tribhu...,2.0,1
13465,1976,JAN,near Al Qaysumah,81.0,1
14737,2003,JAN,near Chengdu,0.0,1
18887,1995,JAN,near Provedenia Airpo...,0.0,1
1297,2018,JAN,Berlin-SchÃ¶nefe...,0.0,1
16245,1975,JAN,near Istanbul-YesilkÃ...,42.0,1
6569,1995,JAN,Lexington-Blue G...,0.0,1
18553,2003,JAN,near Pattaya Airport ...,0.0,1
7057,1976,JAN,Mactan Island,7.0,1
3167,1995,JAN,Detroit-Willow R...,0.0,1
17935,2017,JAN,"near Muscat, Oman",0.0,1
4230,2003,JAN,Gorontalo-Jalalu...,0.0,1
9710,1995,JAN,Port Sudan Airpo...,0.0,1
15532,1995,JAN,near Flagstaff-Pullia...,1.0,1
10547,2003,JAN,San Angelo-Ducot...,0.0,1
6014,1976,JAN,Kuala Lumpur Sub...,0.0,1
16221,1995,JAN,near Isfahan-Shahid B...,12.0,1
2325,1976,JAN,ChapecÃ³ Airport...,7.0,1
180,1975,JAN,Akrotiri RAF Sta...,0.0,1
5565,1995,JAN,Karachi Internat...,0.0,1
14997,1976,JAN,near Cozumel Airport ...,4.0,1
18152,1975,JAN,near Nha Trang,9.0,1
5857,1995,JAN,Kinshasa-N'Dolo ...,0.0,1
8787,1995,JAN,North Angola,6.0,1
8250,2004,JAN,Mulia Airport (LII),0.0,1
12882,2017,JAN,West Palm Beach ...,0.0,1
9367,1995,JAN,"Paungassi, MN",0.0,1
17266,1995,JAN,near Lubbock Internat...,0.0,1
12924,1975,JAN,"Whittier, CA",12.0,1
6563,2017,JAN,Leticia-Alfredo ...,0.0,1
278,1995,JAN,Almaty Airport (...,0.0,1
5889,2018,JAN,KittilÃ¤ Airport...,1.0,1
9990,1976,JAN,Rambouillet,5.0,1
17504,1995,JAN,near Maria La Baja,51.0,1
29,2003,JAN,Aberdeen-Dyce Ai...,0.0,1
6924,2004,JAN,Luena Airport (LUO),0.0,1
1133,2004,JAN,Beijing-Capital ...,0.0,1
17204,1976,JAN,near Loja,34.0,1
12796,1975,JAN,"Washington, DC",0.0,1
5152,1976,JAN,Istanbul-YesilkÃ...,0.0,1
15596,1975,JAN,"near Fort Lauderdale, FL",0.0,1
14372,1975,JAN,near Budapest-Feriheg...,9.0,1
14693,1976,JAN,near Changsha-Huanghu...,40.0,1
1911,2003,JAN,Busia,3.0,1
15232,2003,JAN,near Diyarbakir Airpo...,75.0,1
4908,1995,JAN,Huambo Airport (...,0.0,1
4237,2018,JAN,Governor's Harbo...,0.0,1
4887,2017,JAN,Howell-Livingsto...,0.0,1
1505,1975,JAN,Boende Airport (...,1.0,1
17890,1976,JAN,near Moskva-Vnukovo A...,62.0,1
14797,1976,JAN,near Chipaque,13.0,1
265,1995,JAN,Allendorf,2.0,1
7849,2018,JAN,Mogadishu Aden A...,0.0,2
13602,1976,JAN,near Anchorage Intern...,6.0,1
21194,1976,JAN,within Azerbaijan,7.0,1
15369,1975,JAN,near El Doncello,23.0,1
18110,1995,JAN,"near NeuquÃ©n, NE",1.0,1
19357,1975,JAN,near Sam Neua Airport...,12.0,1
1394,1995,JAN,Bili,0.0,1
1402,2017,JAN,Billings-Logan I...,0.0,1
478,2019,JAN,Antalya Airport ...,0.0,1
377,2016,JAN,Amundsen-Scott S...,0.0,1
14674,2003,JAN,near Chachapoyas,46.0,1
5864,2003,JAN,"Kipnuk Airport, ...",0.0,1
1834,1996,JAN,Buenos Aires-Jor...,0.0,1
2608,1978,JAN,CiÃ©naga Grande ...,0.0,1
2999,2015,JAN,Dawlatabad distr...,0.0,1
14930,2005,JAN,near Colquiri,0.0,1
14193,2015,JAN,near Boca Druif,3.0,1
5553,1978,JAN,Karachi,0.0,1
20396,1978,JAN,"near Toksook Bay, AK",1.0,1
7430,2015,JAN,Matthews Ridge A...,0.0,1
7672,1996,JAN,Miami Internatio...,0.0,2
5365,1974,JAN,Johnstown-Cambri...,12.0,1
6920,1993,JAN,Lucknow (LKO),0.0,1
19202,1974,JAN,near Rostov Airport (...,4.0,1
6305,1974,JAN,Laja Airport,0.0,1
3462,1978,JAN,Eirunepe Airport...,2.0,1
13381,2015,JAN,near Abu adh Dhuhur A...,30.0,1
19638,1993,JAN,near Sellafield,2.0,1
71,2015,JAN,Accra-Kotoka Air...,0.0,1
16028,1993,JAN,near Hermosillo Airpo...,9.0,1
14676,1974,JAN,near ChaitÃ©n,0.0,1
14941,1994,JAN,near Columbus-Port Co...,5.0,1
8239,1974,JAN,Mukachevo,24.0,1
15540,1974,JAN,near Florencia,32.0,1
2779,2016,JAN,Corral Viejo,0.0,1
12352,2019,JAN,Tuscaloosa Regio...,0.0,1
20947,2016,JAN,near Windhoek-Hosea K...,0.0,1
1520,1974,JAN,BogotÃ¡-Eldorado...,0.0,1
11381,1996,JAN,Spokane Internat...,0.0,1
21273,1993,JAN,within Northern Sumatra,14.0,1
